G36451,E001463,303
G36025,E001463,457
G36836,E001463,638
G36847,E001463,853
G36829,E001463,943
G36812,E001463,1062
G36554,E003251,208
G36547,E003251,249
G36553,E003251,355
G36546,E003251,474
G36875,E003251,508
G36543,E003989,208
G36548,E003989,303
G36870,E003989,474
G36868,E003989,531
G36866,E003989,659
G36863,E003989,750
G36858,E003989,1028
G36540,E006547,369
G36534,E006547,465
G36536,E006547,600
G36525,E006547,785
G36524,E006547,1040
G36294,E006574,237
G36305,E006574,366
G36310,E006574,430
G36297,E006574,520
G36309,E006574,562
G36296,E006574,616
G36480,E006574,683
G36479,E006574,788
G36312,E006574,844
G36299,E006574,918
G36304,E006574,1049
G36004,E006673,207
G36008,E006673,339
G36013,E006673,431
G36018,E006673,536
G36022,E006673,705
G36459,E010590,227
G36464,E010590,322
G36463,E010590,423
G36474,E010590,525
G36462,E010590,576
G36473,E010590,626
G36461,E010590,709
G36472,E010590,804
G36440,E010590,919
G36438,E010590,1045
G36302,E010629,164
G35983,E010629,389
G35984,E010629,1089
G35972,E010937,237
G35976,E010937,385
G35961,E010937,509
G35965,E010937,630
G35966,E010937,661
G35967,E010937,692
G35951,E010937,938
G35952,E010937,964
G35954,E010937,1027
G36556,E016924,164
G36886,E016924,290
G36886,E016924,290
G36896,E016924,505
G36896,E016924,505
G36882,E016924,769
G36882,E016924,769
G35384,E016924,911
G35384,E016924,911
G35412,E016924,1131
G35942,E017751,179
G35992,E017751,333
G35948,E017751,502
G35936,E017751,692
G35940,E017751,722
G35941,E017751,778
G36751,E017751,998
G36260,E018113,337
G36263,E018113,434
G36266,E018113,527
G36267,E018113,558
G36268,E018113,584
G36248,E018113,687
G36249,E018113,747
G36251,E018113,804
G36224,E018113,1053
G36165,E018268,352
G36906,E018268,504
G35465,E018268,606
G36922,E018268,747
G35893,E018268,910
G36904,E018268,1017
G36920,E018268,1233
G36813,E022137,281
G35898,E022137,397
G36154,E022137,612
G35473,E022137,767
G36843,E022137,899
G36754,E022852,362
G36752,E022852,518
G36765,E022852,681
G35906,E022852,973
G36159,E026079,227
G36179,E026079,369
G36952,E026079,582
G35391,E026079,760
G35390,T013815,42
G36958,T013815,155
G36964,T013815,421
G36962,T013815,481
G36959,T013815,485
G36976,T013815,587
G35360,T013815,643
G36972,T013815,727
G35464,T014292,249
G36788,T014292,310
G35488,T014292,471
G35474,T014292,562
G36802,T014292,652
G35451,T014292,736
G36444,T025418,264
G36443,T025418,399
G35421,T025418,477
G36446,T025418,527
G36032,T025418,568
G36448,T025418,629
G36445,T025418,1025
