Taxonomy	G35421	G35451	G35893	G35464	G35465	G35474	G35488	G35906	G35951	G35952	G35954	G35961	G35965	G35966	G35967	G35972	G35976	G36004	G36008	G36013	G36018	G36022	G36025	G36032	G36438	G36440	G36443	G36444	G36445	G36446	G36448	G36451	G36459	G36461	G36462	G36463	G36464	G36472	G36473	G36474	G36165	G36294	G36296	G36297	G36299	G36304	G36305	G36309	G36310	G36312	G36479	G36480	G36524	G36525	G36534	G36536	G36540	G36546	G36547	G36553	G36554	G36875	G36896	G36752	G36754	G36765	G36788	G36802	G36812	G36829	G36836	G36847	G36904	G36906	G36920	G36922	G35360	G35384	G35390	G35391	G35412	G35898	G35473	G35936	G36543	G36882	G36886	G36751	G36813	G36843	G36952	G36958	G36959	G36962	G36964	G36972	G36976	G35940	G35941	G35942	G35948	G35983	G35984	G35992	G36154	G36159	G36179	G36224	G36248	G36249	G36251	G36260	G36263	G36266	G36267	G36268	G36302	G36548	G36556	G36858	G36863	G36866	G36868	G36870
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris	0	16.30111	0.00058	0	0	4.39763	10.19895	0	0	0	0	0	0	0	0	0	0	0.36631	2.36278	8.5363	2.56517	3.93221	0.00305	0	0	0	0	0	0	0	0	0.00027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00739	0	0	0	0	0.00628	0	0	0	0	19.99935	0.00629	0.00261	0.00217	0.00133	0.18048	0	0	0.00897	0	0.001	0	0.18285	0	3.29495	13.61895	0.00161	0	0.00204	0.0033	0.00167	0	10.14574	0.13624	0	0	0.00164	0	0	0	0.00227	0.00062	6.00E-04	0.00248	0	0	0	6.48465	0.00706	0.60001	0	0	0	0.00037	0	0.00178	0.00033	0.00266	0	0	0	0.2365	0.47955	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	0	0.0507	0	0.1727	0.31992	0	0.08542	0.1547	0	0	0	0	0	0	0	0	0	0.29058	0.17201	0.81606	0.02247	0.30915	0	0	0.01846	0.0251	0	0	0	0	0	0	0.00177	0.01091	0.00429	0	0	0.03652	0.02978	0.02527	5.88731	0	0.04435	0.03232	0.01373	0.06171	0.11203	0.03542	0.02212	0.04832	0	0.03353	0	0	0	0	0	0.00135	0	8.00E-04	0.00323	0	0.53865	2.23631	1.3306	1.41693	0.08392	0.18921	0	0	0	0	0.93649	0.18797	0	0.50793	0.1003	0.18393	0	0.03221	0.06885	0.00113	0	0	0	0.16309	0.09992	0.05319	0	0	0.10303	0	0.01197	0.38205	0.71093	0.01477	0.00859	0	0	0	0	0	0.01472	0	0	0.36189	0.58341	0	0	0	0	0	0.00129	0	0.00034	0	0	0	0.04087	0.12173	0.61656	1.13478	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_unclassified	0	0	0	15.97383	3.05832	1.56432	3.9855	24.90814	41.36471	50.38778	47.80693	0	42.63704	26.14179	19.13351	45.13016	17.23566	10.99444	11.59863	9.36523	6.18186	8.96932	0	2.40052	21.49532	33.32525	0	0	0	0	0	0	10.77607	26.57634	4.22944	7.37791	10.61938	37.17182	25.34155	4.57516	51.69981	0	0	0	0	0	0	0	0	0	0	0	7.90973	23.2719	4.91608	8.78184	3.32537	12.2122	4.47021	10.62388	15.0497	11.25883	24.59224	62.12833	44.85325	42.55833	29.84322	4.64806	0	0	0	0	0	0	17.48521	10.74685	0	11.88183	0.00356	3.08135	5.74339	13.33986	6.94481	6.54808	0	10.92417	20.14285	7.45971	30.44809	4.20348	4.87517	15.05456	0	6.47219	12.89978	0	0.18806	9.18776	10.1123	4.05903	6.33029	34.00651	7.51954	12.65642	23.78745	0	19.60683	11.1159	9.94614	0	4.42511	0	0	0	0	2.3063	48.23927	0	0.80986	10.22093	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	0.08914	0.09128	0.00053	0.12263	0.08366	0.01649	0.09989	0	0	0	0	0	0	0	0	0	0	0.8279	1.85313	7.20719	4.1201	2.68087	1.88519	0.31594	2.09502	5.35946	0.11327	0.10359	0.31167	0.50845	0.42109	0.47381	4.31557	3.20431	0.90966	10.11402	2.74493	8.8475	5.91055	2.41498	0.97238	0	0	0	0	0	0	0	0	0	0	0	0.19288	0	0.00105	0.00051	0.00754	0.26446	0.05223	0.0955	0.41561	0.25861	0.52091	0	0	0	0.05804	0.15273	2.03543	0.28393	2.44322	1.00157	0.05659	0.15601	0	0.32665	0.00191	0.34075	0	0.13964	0.23597	0.587	0.40334	0.31742	0	0.3066	0.38218	0.65224	1.97297	0.29508	0.39959	0.29076	0.00444	0.03476	0.02345	0.00571	0	0.55308	0.32441	0.1633	0.46942	0.07401	0.0272	0.50091	2.04715	0.24559	0.31866	0.37688	0	0.11222	0.49144	0	0.3276	0.09392	0.3956	0	0.18328	0	0.00989	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	3.9048	1.46718	40.69928	6.34176	10.1483	1.09152	1.43957	0.04655	18.66487	10.57999	16.90218	27.1303	19.39844	14.4821	5.24675	0.06448	0.09788	0.01592	0.02062	0.03265	0.02284	0.02451	42.92375	8.19744	3.15628	0.8521	23.24586	28.45806	23.48257	29.79292	20.35525	20.71193	0.01698	1.69959	0.13684	0.03554	0.04049	3.12399	1.45306	0.9635	1.75798	14.28003	37.05925	22.4301	44.40131	63.56862	48.94414	42.48552	35.26202	32.47355	1.25289	21.08597	1.49624	0.01574	0.03529	0.02551	0.02509	0.05712	0.01578	0.01991	0.0181	0.06291	0.04864	0.03739	0.0231	0.04676	3.5717	5.00775	44.4142	25.90123	53.44263	68.78057	17.60329	30.19235	0.02458	19.24908	3.33606	0.03739	0.02157	5.49814	0.03682	6.61502	2.4885	0.0279	24.00073	0.02539	0.03071	0.03163	0.03333	1.00753	30.42497	0.03738	0.15859	3.39032	2.32615	1.82001	0.20686	0.01627	0.02807	0.02136	0.01734	0.03218	2.41688	0.02812	1.52143	78.78969	34.37164	4.83869	14.07843	9.71953	5.72064	17.64896	4.37388	2.43281	6.50713	2.66058	0.0263	23.0308	0.83917	5.91661	13.68895	28.91518	23.25977	37.6406
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens	0.04652	0.00928	0	0.18655	0.06084	0.0069	0.01584	0.01086	0.06948	0.15336	0.0947	0	0.11003	0.03395	0.48176	0	0	4.77972	5.21589	5.16982	1.71869	0.31852	0	0.049	2.07991	7.19278	0.13658	0.07558	0.38561	0.5374	0.15734	0	0	3.38369	0.05647	0	0	5.01129	1.88578	0	1.12661	0.28533	0.20994	0.10928	0.42259	0.18517	0.15278	0.21775	0.50522	0.02281	0	0.29641	0.00704	0.00246	0	0.02582	0	0.03462	0.02018	0.06145	0.01291	0.01063	3.33468	0.00464	0	0	0.0973	0.02943	0	0	0	0	0.20203	0.01731	0	0.09481	0.85	3.15283	0	1.3959	1.95348	0.12769	0.29316	0.00255	0	2.77101	7.3908	0.3581	0.01869	0.02231	6.6757	0.00293	0.06327	0.21433	0.00145	0.33461	0.03329	0.01213	0.00295	0.00958	0.01181	5.44364	0.63903	0	0.63773	0.00819	9.39531	2.09309	4.27037	3.23274	1.78165	0	0.01157	0.00486	0.1319	0.03591	0.75191	0	0.05217	1.4763	0.02638	0.04139	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0.16595	2.35628	0	0.00537	1.10816	0.01284	0.02415	0	0.00734	0.01106	0.03026	0	0	0	0	0	0	0.11077	0.12093	0.43557	0.07235	0.14841	0.0231	0.09753	1.04919	2.22876	0.02185	0.81325	0.75265	0.23046	0.52715	0.00509	0	3.60669	2.46446	2.40318	0	3.53219	5.64716	2.77928	1.84779	0	0	0.00266	0	0.01032	0.00348	0.01219	0.00278	0.0033	0	0	0.5793	0	0	0	0	6.9966	1.32176	3.7907	1.97036	3.50534	0.00275	0	0	0	0	0.07293	0.01575	0	0.01262	0.00968	9.95885	2.97942	0	2.01468	1.11257	0.00062	0	0.14981	0	4.76635	5.8051	0.00272	0.01014	0.01209	0.02276	1.00265	0	12.42215	0.29308	0	0	0.01072	0	1.66688	0.14637	0.00778	0.00621	0	0.00038	0	0.19983	0	4.49211	0.00823	1.37566	0.1685	0.03453	0.11855	0.07406	0.12765	0.5734	0.18792	0.35424	0.71855	0	0.03233	4.45405	0.059	0.02341	0.04814	0.02861	0.0319
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	0	2.2961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01955	2.1283	0	0	0	0	0	0	0	3.60669	2.46446	2.40318	0	3.53219	5.64716	2.77928	0	0	0	0	0	0	0	0	0	0	0	0	0.42878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.67833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.86607	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_splanchnicus	0	2.2961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01955	2.1283	0	0	0	0	0	0	0	3.60669	2.46446	2.40318	0	3.53219	5.64716	2.77928	0	0	0	0	0	0	0	0	0	0	0	0	0.42878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.67833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.86607	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	0.16595	0.06018	0	0.00537	1.10816	0.01284	0.02415	0	0.00734	0.01106	0.03026	0	0	0	0	0	0	0.11077	0.12093	0.43557	0.07235	0.14841	0.0231	0.09753	0.02963	0.10045	0.02185	0.81325	0.75265	0.23046	0.52715	0.00509	0	0	0	0	0	0	0	0	1.84779	0	0	0.00266	0	0.01032	0.00348	0.01219	0.00278	0.0033	0	0	0.15052	0	0	0	0	6.9966	1.32176	3.7907	1.97036	3.50534	0.00275	0	0	0	0	0.07293	0.01575	0	0.01262	0.00968	4.2688	2.97942	0	2.01468	1.11257	0.00062	0	0.14981	0	4.76635	5.8051	0.00272	0.01014	0.01209	0.02276	0.00924	0	12.40164	0.29308	0	0	0.01072	0	1.66688	0.14637	0.00778	0.00621	0	0.00038	0	0.00188	0	4.49211	0.00823	1.37566	0.1685	0.03453	0.11855	0.07406	0.12765	0.5734	0.18792	0.35424	0.71855	0	0.03233	3.58524	0.059	0.02341	0.04814	0.02861	0.0319
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis	0.0015	0.06018	0	0	0.33853	0.01284	0.02415	0	0	0	0	0	0	0	0	0	0	0.11077	0.12093	0.43557	0.07235	0.14841	0	0.00274	0	0	0.00452	0.00467	0.01977	0.00985	0.00762	0	0	0	0	0	0	0	0	0	1.84779	0	0	0	0	0	0	0	0	0	0	0	0.15052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07293	0	0	0	0	0.03261	0.41633	0	0.49276	0	0.00062	0	0.14981	0	0.00694	0.1176	0	0	0	0	0.00036	0	0.23794	0.29308	0	0	0	0	0	0	0.00077	0.00186	0	0.00038	0	0	0	0.04342	0	1.37566	0.1685	0	0	0.07406	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_johnsonii	0	0	0	0	0.08443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57008	0.10552	0.12144	0.1029	0.13598	0	0	0	0	0	0	0	0	0	0	0	0.32194	0	0.23865	0	0	0	0	0	0	0.00202	0	0	0	0	0	0	0.00115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae	0.14484	0	0	0	0.6852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09479	0	0	0.01457	0.73474	0.66097	0.1728	0.49623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26124	0.9441	3.50596	1.73249	3.25273	0	0	0	0	0	0	0	0	0	0	3.57432	1.85009	0	1.28327	1.11257	0	0	0	0	4.75941	5.68548	0	0	0	0	0	0	12.16254	0	0	0	0	0	1.66688	0.14637	0	0	0	0	0	0	0	4.4484	0.00236	0	0	0	0	0	0.10562	0.50273	0.17206	0.25751	0	0	0	3.58524	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified	0.01961	0	0	0.00537	0	0	0	0	0.00734	0.01106	0.03026	0	0	0	0	0	0	0	0	0	0	0	0.0231	0	0.02963	0.10045	0.00276	0.07385	0.07191	0.04781	0.02329	0.00509	0	0	0	0	0	0	0	0	0	0	0	0.00266	0	0.01032	0.00348	0.01219	0.00278	0.0033	0	0	0	0	0	0	0	1.16528	0.27214	0.16331	0.13498	0.11662	0.00275	0	0	0	0	0	0.01575	0	0.01262	0.00968	0.66187	0.39106	0	0	0	0	0	0	0	0	0	0.00272	0.01014	0.01209	0.02276	0.00888	0	0	0	0	0	0.01072	0	0	0	0.00701	0.00434	0	0	0	0.00188	0	0	0.00586	0	0	0.03453	0.11855	0	0.02203	0.07067	0.01586	0.09673	0.71855	0	0.03233	0	0.059	0.02341	0.04814	0.02861	0.0319
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00273	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_asaccharolytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00273	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_uenonis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01266	0.16888	0	0	0	0	0	0	0	0	0	0	0	0	0	54.06243	0.01032	0	0	0	0	0.0204	0	0	0	0	0	0.01133	0	0	0	0	0	0	0.01145	0	0	0	0	0	0	0	0	0	0	0.01848	16.1414	0	0	0	22.81215	0.01133	0.01327	0.0087	0.01971	0.01815	0.01522	0.01337	0.0058	0.00424	0.01006	0.00906	0.00835	0.12446	0.0126	0.02768	0.74489	38.55588	52.27349	40.80678	67.20497	0.01113	0.01467	0.00947	0.01161	0.01578	0.00398	0.01713	0.01484	0.0295	0.01615	0.01275	0.02496	0.01579	0.01726	0.00773	0.01029	0.00649	0.00438	0.06894	0.02301	0.38069	59.47635	0.02173	0.01286	0.02134	0.01185	0.01956
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01266	0.16888	0	0	0	0	0	0	0	0	0	0	0	0	0	54.06243	0.01032	0	0	0	0	0.0204	0	0	0	0	0	0.01133	0	0	0	0	0	0	0.01145	0	0	0	0	0	0	0	0	0	0	0.01848	16.1414	0	0	0	22.81215	0.01133	0.01327	0.0087	0.01971	0.01815	0.01522	0.01337	0.0058	0.00424	0.01006	0.00906	0.00835	0.12446	0.0126	0.02768	0.74489	38.55588	52.27349	40.80678	67.20497	0.01113	0.01467	0.00947	0.01161	0.01578	0.00398	0.01713	0.01484	0.0295	0.01615	0.01275	0.02496	0.01579	0.01726	0.00773	0.01029	0.00649	0.00438	0.06894	0.02301	0.38069	59.47635	0.02173	0.01286	0.02134	0.01185	0.01956
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_bivia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01266	0.1115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0153	0	0	0	0	0	0	0	0	0	0	0.01131	0.00841	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_buccae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36146	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_buccalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.06243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.1414	0	0	0	22.81215	0.01133	0.01299	0.0087	0.01971	0.01815	0.01522	0.01337	0.0058	0.00424	0.01006	0.00906	0.00835	0.00914	0.0126	0.02768	0.74489	38.55588	52.27349	40.80678	67.20497	0.01113	0.01467	0.00947	0.01161	0.01578	0.00398	0.01713	0.01484	0.0142	0.01615	0.01275	0.02496	0.01579	0.01726	0.00773	0.01029	0.00649	0.00438	0.06894	0.01171	0.01082	59.47635	0.02173	0.01286	0.02134	0.01185	0.01956
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_disiens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01032	0	0	0	0	0.0204	0	0	0	0	0	0.01113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_timonensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01211	0	0	0	0	0	0	0.00028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0	12.37701	2.29292	0.07991	1.13995	0	0	13.32106	0.13498	0.42655	0.54362	0	0	0	1.16316	0	0	0	0	0.00076	26.98071	20.65464	0	0	0	0	0	0	0	0	0	0	0	0	14.17697	8.59518	0	0	1.9639	13.15275	0	0	0.74787	0.52836	0.37996	4.58435	0	0.35278	0.15709	0.52333	0.17775	4.40608	3.47798	0	0.0645	0.03565	0.02087	17.3434	1.43542	7.76689	0.22535	17.752	0.01889	0	0	0	0.03181	0	0.59866	0.21235	1.8009	1.32813	4.22525	0.99216	2.09831	2.33515	2.70311	0.00078	0	3.12811	0	0.00168	14.54929	0	0	0	0.00121	8.75629	0.00061	6.19528	0	0.00238	0	0.00179	0	1.88413	0.12469	0	0	0.00058	0	0	0.91738	0	19.15117	0.0068	0.00272	5.19653	21.02334	8.96367	7.29842	0	0.18102	2.19518	4.5063	16.6153	0.00109	0	2.67717	0.43335	0.00104	0.00062	0.00365	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	0	12.37701	2.29292	0.07991	1.13995	0	0	13.32106	0.13498	0.42655	0.54362	0	0	0	1.16316	0	0	0	0	0.00076	26.98071	20.65464	0	0	0	0	0	0	0	0	0	0	0	0	14.17697	8.59518	0	0	1.9639	13.15275	0	0	0.74787	0.52836	0.37996	4.58435	0	0.35278	0.15709	0.52333	0.17775	4.40608	3.47798	0	0.0645	0.03565	0.02087	17.3434	1.43542	7.76689	0.22535	17.752	0.01889	0	0	0	0.03181	0	0.59866	0.21235	1.8009	1.32813	4.22525	0.99216	2.09831	2.33515	2.70311	0.00078	0	3.12811	0	0.00168	14.54929	0	0	0	0.00121	8.75629	0.00061	6.19528	0	0.00238	0	0.00179	0	1.88413	0.12469	0	0	0.00058	0	0	0.91738	0	19.15117	0.0068	0.00272	5.19653	21.02334	8.96367	7.29842	0	0.18102	2.19518	4.5063	16.6153	0.00109	0	2.67717	0.43335	0.00104	0.00062	0.00365	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis	0	12.29893	0.00247	0	0	0	0	12.61028	0	0	0	0	0	0	0.00036	0	0	0	0	0	6.31729	7.82391	0	0	0	0	0	0	0	0	0	0	0	0	7.72279	8.59518	0	0	0	13.15275	0	0	0	0.00025	0	4.24254	0	0	0	0	0	4.27487	2.40477	0	0.0645	0.03565	0.02087	10.11879	1.32969	5.07775	0.22535	14.48359	0.00129	0	0	0	0	0	0	0	0	0.00093	0.02309	0	8.00E-04	0.00402	0.93606	0.00078	0	2.0411	0	0	11.18279	0	0	0	0.00121	8.64686	0.00061	5.16011	0	0.00149	0	0.00137	0	0.71855	0.0853	0	0	0.00058	0	0	0	0	15.28679	0.0045	0.00272	4.54981	20.67436	8.89154	7.07266	0	0.00043	2.13794	4.41286	0.01526	0.00109	0	1.70527	0.00583	0.00104	3.00E-04	0.00365	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii	0	0.07807	0.78479	0.00646	0.27887	0	0	0.71078	0.035	0.09886	0.14353	0	0	0	0.32936	0	0	0	0	0	20.66342	12.83074	0	0	0	0	0	0	0	0	0	0	0	0	1.77763	0	0	0	0.32603	0	0	0	0.20335	0.13622	0.11653	0.3418	0	0.08189	0.03671	0.15222	0.0432	0.13121	1.07321	0	0	0	0	7.22461	0.10574	2.68914	0	3.26841	0.0125	0	0	0	0.00558	0	0.12118	0.03939	0.37122	0.26222	1.80434	0.21541	0.48251	0.50398	1.76705	0	0	1.08701	0	0	3.36649	0	0	0	0	0.10943	0	1.03517	0	0	0	0	0	1.16558	0.03939	0	0	0	0	0	0.91738	0	3.86438	0.00045	0	0.64672	0.34898	0.07212	0.22576	0	0.04948	0.05724	0.09343	3.95205	0	0	0.9719	0.07448	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_unclassified	0	0	1.50566	0.07345	0.86108	0	0	0	0.09999	0.32769	0.40009	0	0	0	0.83344	0	0	0	0	0.00076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.67654	0	0	0	1.63787	0	0	0	0.54452	0.39189	0.26342	0	0	0.27089	0.12038	0.37111	0.13454	0	0	0	0	0	0	0	0	0	0	0	0.0051	0	0	0	0.02622	0	0.47748	0.17296	1.42968	1.06498	2.39783	0.77674	1.61501	1.82715	0	0	0	0	0	0.00168	0	0	0	0	0	0	0	0	0	9.00E-04	0	0.00042	0	0	0	0	0	0	0	0	0	0	0	0.00185	0	0	0	0	0	0	0.1311	0	0	12.64799	0	0	0	0.35304	0	0.00031	0	0
