"num_runs","num_perturbations","num_subjects","num_timepoints","method","F1 mean","F1 median","F1 geometric mean","F1 median of absolute deviations from median","F1 standard deviation","F1 for run 1","F1 for run 2","F1 for run 3","F1 for run 4","F1 for run 5","F1 for run 6","F1 for run 7","F1 for run 8","F1 for run 9","F1 for run 10"
10,1,32,24,"MITRE ensemble",0.8,0.7665,0.782485343741854,0.1165,0.162590282612461,0.8,0.667,0.733,1,0.5,0.9,1,0.733,1,0.667
10,1,32,24,"MITRE point",0.7867,0.8,0.764605004889394,0.1665,0.18024929958255,0.8,0.667,0.667,1,0.5,0.9,1,0.8,1,0.533
10,1,32,24,"random forest",0.6033,0.6165,0.595446914681723,0.0505,0.091877146233435,0.667,0.667,0.733,0.5,0.65,0.4,0.667,0.583,0.583,0.583
10,1,32,24,"L1-regularized log. reg.",0.6718,0.667,0.665080178491241,0,0.096622771643128,0.667,0.583,0.667,0.9,0.5,0.733,0.667,0.667,0.667,0.667
10,1,32,30,"MITRE ensemble",0.8249,0.7665,0.810624321573262,0.1415,0.152330200551302,1,0.733,0.733,1,0.583,0.8,1,0.733,1,0.667
10,1,32,30,"MITRE point",0.8267,0.9,0.808174824365323,0.1,0.16514784285603,0.9,0.9,0.733,1,0.5,0.9,1,0.667,1,0.667
10,1,32,30,"random forest",0.6049,0.583,0.599804254325508,0.067,0.076851089777569,0.583,0.733,0.667,0.583,0.667,0.533,0.583,0.45,0.667,0.583
10,1,32,30,"L1-regularized log. reg.",0.7151,0.667,0.707322141981255,0,0.112570377986396,0.733,0.583,0.667,1,0.667,0.667,0.667,0.667,0.833,0.667
10,2,12,18,"MITRE ensemble",0.2982,0.25,0.174792268636645,0.25,0.265642541773715,0,0,0.615,0.167,0.8,0.167,0.5,0,0.333,0.4
10,2,12,18,"MITRE point",0.4794,0.481,0.443620100614557,0.1,0.170821661389883,0.222,0.769,0.667,0.2,0.6,0.5,0.4,0.462,0.545,0.429
10,2,12,18,"random forest",0.3535,0.3095,0.237039615156631,0.1985,0.256386524606891,0,0,0.364,0.286,0.667,0.714,0.222,0.222,0.333,0.727
10,2,12,18,"L1-regularized log. reg.",0.2449,0.1,0.113541873684903,0.1,0.301339161079339,0,0,0.727,0,0.8,0,0.5,0.2,0.222,0
10,2,20,18,"MITRE ensemble",0.6622,0.668,0.615108720490972,0.2265,0.232186046092352,0.947,0.286,0.353,0.9,0.556,0.636,0.9,0.455,0.7,0.889
10,2,20,18,"MITRE point",0.711,0.7495,0.680869880095832,0.1505,0.186557229825059,0.947,0.8,0.556,0.762,0.556,0.636,0.9,0.316,0.737,0.9
10,2,20,18,"random forest",0.4603,0.4325,0.429939935828653,0.1455,0.161647177519436,0.421,0.222,0.444,0.6,0.421,0.636,0.25,0.316,0.556,0.737
10,2,20,18,"L1-regularized log. reg.",0.4176,0.485,0.303114665319988,0.1965,0.246810534621195,0.444,0,0.667,0.105,0.706,0.556,0.143,0.333,0.526,0.696
10,2,24,18,"MITRE ensemble",0.7419,0.833,0.676995685897626,0.08,0.233572023153459,0.87,0.48,0.667,0.833,0.783,0.917,0.96,0.167,0.833,0.909
10,2,24,18,"MITRE point",0.7482,0.833,0.724443867102074,0.0485,0.168276439230214,0.833,0.417,0.696,0.833,0.783,0.833,0.917,0.444,0.846,0.88
10,2,24,18,"random forest",0.5523,0.5415,0.537567180542125,0.094,0.127202240546305,0.5,0.348,0.583,0.75,0.435,0.643,0.476,0.455,0.75,0.583
10,2,24,18,"L1-regularized log. reg.",0.4602,0.5275,0.313062384626578,0.1275,0.259190200432038,0.4,0,0.769,0.636,0.727,0.6,0.4,0,0.455,0.615
10,2,32,18,"MITRE ensemble",0.8517,0.9,0.835622296746317,0.1,0.159918135306788,1,0.667,0.667,1,0.8,1,1,0.583,0.8,1
10,2,32,18,"MITRE point",0.845,0.9,0.821981852926981,0.1,0.180118849652112,1,0.733,0.667,1,0.8,1,1,0.45,0.8,1
10,2,32,18,"random forest",0.6766,0.667,0.663165882791517,0.084,0.136476518126746,0.667,0.5,0.583,0.9,0.583,0.733,0.667,0.5,0.9,0.733
10,2,32,18,"L1-regularized log. reg.",0.6301,0.667,0.607935006074246,0,0.132680405486266,0.733,0.25,0.667,0.667,0.733,0.667,0.583,0.667,0.667,0.667
10,2,40,18,"MITRE ensemble",0.86,0.8,0.851449658541065,0.1,0.120904094223479,0.8,0.8,0.8,1,0.733,1,1,0.667,1,0.8
10,2,40,18,"MITRE point",0.8462,0.8145,0.838168006979359,0.0835,0.116689159736455,0.8,0.8,0.733,0.829,0.733,1,1,0.667,1,0.9
10,2,40,18,"random forest",0.5987,0.583,0.591069062769475,0.0485,0.098091844717081,0.733,0.536,0.533,0.583,0.536,0.583,0.583,0.45,0.8,0.65
10,2,40,18,"L1-regularized log. reg.",0.6492,0.667,0.64381307263442,0.029,0.079556017999898,0.667,0.5,0.733,0.65,0.5,0.708,0.667,0.667,0.667,0.733
10,2,48,18,"MITRE ensemble",0.8673,0.829,0.864494317187292,0.0285,0.071638048549636,0.829,0.829,0.829,1,0.857,0.829,0.9,0.8,1,0.8
10,2,48,18,"MITRE point",0.8576,0.843,0.853715687594242,0.043,0.08285553693025,0.857,0.829,0.8,1,0.857,0.733,0.9,0.8,1,0.8
10,2,48,18,"random forest",0.6068,0.643,0.595033027207649,0.0445,0.109867920704817,0.667,0.571,0.619,0.619,0.45,0.708,0.667,0.367,0.733,0.667
10,2,48,18,"L1-regularized log. reg.",0.7135,0.733,0.70128884932233,0.067,0.115819039885504,0.733,0.4,0.8,0.8,0.686,0.733,0.8,0.8,0.65,0.733
10,2,64,18,"MITRE ensemble",0.8623,0.857,0.860992139735012,0,0.046682009382631,0.929,0.75,0.857,0.857,0.857,0.873,0.857,0.857,0.929,0.857
10,2,64,18,"MITRE point",0.8517,0.857,0.849679067303223,0.008,0.057699306754934,0.929,0.739,0.857,0.857,0.857,0.873,0.857,0.762,0.929,0.857
10,2,64,18,"random forest",0.6343,0.634,0.633032055254819,0.0335,0.0402741852804,0.583,0.586,0.664,0.667,0.619,0.708,0.649,0.6,0.6,0.667
10,2,64,18,"L1-regularized log. reg.",0.6658,0.667,0.654688144160275,0.0205,0.111464613218725,0.667,0.389,0.667,0.708,0.667,0.75,0.667,0.667,0.619,0.857
10,2,32,6,"MITRE ensemble",0.7099,0.7,0.698599910330482,0.117,0.124516223842518,0.8,0.667,0.583,0.833,0.733,0.833,0.667,0.5,0.583,0.9
10,2,32,6,"MITRE point",0.6567,0.7,0.584301019815352,0.1,0.24764815767536,0.8,0.667,0.2,1,0.733,0.833,0.667,0.2,0.667,0.8
10,2,32,6,"random forest",0.5916,0.558,0.584350661251886,0.058,0.094036375940378,0.667,0.5,0.533,0.5,0.733,0.733,0.583,0.5,0.5,0.667
10,2,32,6,"L1-regularized log. reg.",0.3984,0.225,0.241468504763061,0.225,0.335418007864813,0.8,0.2,0.2,0,0.25,0.667,0,0.2,0.667,1
10,2,32,12,"MITRE ensemble",0.7334,0.85,0.671645590655352,0.1,0.243109522643602,0.9,0.9,0.2,0.9,0.667,1,0.8,0.4,0.667,0.9
10,2,32,12,"MITRE point",0.6932,0.7665,0.613541494681559,0.05,0.258938911714713,0.733,0.9,0.2,0.8,0.733,1,0.733,0.2,0.833,0.8
10,2,32,12,"random forest",0.6534,0.667,0.643522647612702,0.075,0.109507260033296,0.667,0.45,0.5,0.667,0.667,0.8,0.667,0.733,0.583,0.8
10,2,32,12,"L1-regularized log. reg.",0.6134,0.667,0.605828260245512,0.033,0.091605895006817,0.583,0.45,0.667,0.45,0.667,0.667,0.583,0.667,0.667,0.733
10,2,32,24,"MITRE ensemble",0.7866,0.8165,0.767820403751589,0.0835,0.159305492686222,1,0.8,0.5,0.833,0.8,0.9,0.9,0.5,0.9,0.733
10,2,32,24,"MITRE point",0.7866,0.7665,0.773432696554226,0.1165,0.13760828463432,0.9,0.733,0.667,1,0.9,0.9,0.733,0.5,0.8,0.733
10,2,32,24,"random forest",0.6116,0.558,0.600300294433131,0.058,0.120669134413072,0.667,0.5,0.5,0.583,0.733,0.8,0.533,0.5,0.5,0.8
10,2,32,24,"L1-regularized log. reg.",0.6351,0.667,0.630145530362578,0,0.074418344512627,0.583,0.45,0.667,0.583,0.667,0.667,0.733,0.667,0.667,0.667
10,2,32,30,"MITRE ensemble",0.7834,0.7665,0.767012865510028,0.1165,0.15646098555231,0.667,0.667,0.5,1,0.9,1,0.733,0.667,0.9,0.8
10,2,32,30,"MITRE point",0.7499,0.733,0.738333388277302,0.066,0.130124133042261,0.733,0.667,0.5,0.9,1,0.833,0.733,0.667,0.733,0.733
10,2,32,30,"random forest",0.6132,0.6,0.603552281413986,0.1,0.108623938429796,0.733,0.5,0.5,0.733,0.667,0.733,0.533,0.5,0.5,0.733
10,2,32,30,"L1-regularized log. reg.",0.6834,0.667,0.67879433875882,0,0.081568621417798,0.667,0.583,0.667,0.583,0.667,0.667,0.833,0.667,0.833,0.667
